date,usdkrw
2018-02-05,1088.5
2018-02-06,1091.5
2018-02-07,1086.6
2018-02-08,1087.9
2018-02-09,1092.1
2018-02-12,1084.6
2018-02-13,1084.5
2018-02-14,1077.2
2018-02-19,1067.6
2018-02-20,1073.5
2018-02-21,1076.2
2018-02-22,1084.3
2018-02-23,1079.0
2018-02-26,1073.4
2018-02-27,1071.3
2018-02-28,1082.8
2018-03-02,1080.3
2018-03-05,1082.0
2018-03-06,1076.1
2018-03-07,1069.1
2018-03-08,1070.2
2018-03-09,1069.8
2018-03-12,1065.2
2018-03-13,1067.5
2018-03-14,1064.6
2018-03-15,1065.4
2018-03-16,1066.2
2018-03-19,1071.6
2018-03-20,1068.6
2018-03-21,1072.3
2018-03-22,1072.7
2018-03-23,1082.2
2018-03-26,1081.1
2018-03-27,1070.3
2018-03-28,1070.8
2018-03-29,1065.9
2018-03-30,1063.5
2018-04-02,1056.6
2018-04-03,1054.2
2018-04-04,1059.8
2018-04-05,1059.7
2018-04-06,1069.6
2018-04-09,1067.1
2018-04-10,1066.4
2018-04-11,1066.3
2018-04-12,1069.5
2018-04-13,1069.5
2018-04-16,1074.0
2018-04-17,1067.0
2018-04-18,1068.7
2018-04-19,1061.5
2018-04-20,1067.3
2018-04-23,1069.0
2018-04-24,1076.8
2018-04-25,1080.6
2018-04-26,1080.9
2018-04-27,1076.6
2018-04-30,1068.0
2018-05-02,1076.1
2018-05-03,1076.3
2018-05-04,1077.2
2018-05-08,1076.5
2018-05-09,1080.9
2018-05-10,1073.1
2018-05-11,1069.3
2018-05-14,1068.0
2018-05-15,1073.8
2018-05-16,1077.6
2018-05-17,1081.2
2018-05-18,1077.6
2018-05-21,1085.4
2018-05-23,1080.7
2018-05-24,1079.6
2018-05-25,1078.0
2018-05-28,1074.2
2018-05-29,1076.8
2018-05-30,1080.9
2018-05-31,1077.7
2018-06-01,1075.0
2018-06-04,1071.9
2018-06-05,1070.7
2018-06-07,1069.0
2018-06-08,1075.9
2018-06-11,1075.2
2018-06-12,1077.2
2018-06-14,1083.1
2018-06-15,1097.7
2018-06-18,1104.8
2018-06-19,1109.1
2018-06-20,1105.1
2018-06-21,1112.8
2018-06-22,1107.4
2018-06-25,1117.2
2018-06-26,1114.8
2018-06-27,1117.6
2018-06-28,1124.2
2018-06-29,1114.5
2018-07-02,1120.0
2018-07-03,1118.7
2018-07-04,1114.5
2018-07-05,1118.6
2018-07-06,1115.9
2018-07-09,1112.2
2018-07-10,1116.0
2018-07-11,1120.0
2018-07-12,1125.9
2018-07-13,1123.5
2018-07-16,1129.2
2018-07-17,1124.1
2018-07-18,1132.3
2018-07-19,1133.2
2018-07-20,1133.7
2018-07-23,1131.4
2018-07-24,1135.2
2018-07-25,1126.3
2018-07-26,1119.3
2018-07-27,1118.1
2018-07-30,1120.2
2018-07-31,1118.7
2018-08-01,1120.6
2018-08-02,1126.1
2018-08-03,1127.6
2018-08-06,1124.0
2018-08-07,1123.8
2018-08-08,1119.9
2018-08-09,1117.2
2018-08-10,1128.9
2018-08-13,1133.9
2018-08-14,1127.9
2018-08-16,1130.1
2018-08-17,1124.9
2018-08-20,1123.1
2018-08-21,1118.4
2018-08-22,1118.9
2018-08-23,1121.4
2018-08-24,1118.9
2018-08-27,1113.8
2018-08-28,1110.0
2018-08-29,1110.2
2018-08-30,1108.6
2018-08-31,1112.9
2018-09-03,1110.3
2018-09-04,1114.9
2018-09-05,1121.5
2018-09-06,1124.0
2018-09-07,1122.8
2018-09-10,1128.4
2018-09-11,1125.3
2018-09-12,1128.6
2018-09-13,1122.4
2018-09-14,1116.6
2018-09-17,1126.6
2018-09-18,1123.2
2018-09-19,1121.1
2018-09-20,1120.4
2018-09-21,1115.3
2018-09-27,1112.5
2018-09-28,1109.3
2018-10-01,1111.8
2018-10-02,1119.2
2018-10-04,1129.9
2018-10-05,1130.4
2018-10-08,1132.7
2018-10-10,1134.0
2018-10-11,1144.4
2018-10-12,1131.4
2018-10-15,1134.3
2018-10-16,1128.0
2018-10-17,1126.5
2018-10-18,1135.2
2018-10-19,1132.1
2018-10-22,1128.4
2018-10-23,1137.6
2018-10-24,1132.3
2018-10-25,1138.0
2018-10-26,1141.9
2018-10-29,1141.4
2018-10-30,1139.2
2018-10-31,1139.6
2018-11-01,1138.1
2018-11-02,1121.6
2018-11-05,1123.5
2018-11-06,1123.8
2018-11-07,1123.3
2018-11-08,1117.3
2018-11-09,1128.3
2018-11-12,1133.9
2018-11-13,1133.3
2018-11-14,1134.3
2018-11-15,1129.2
2018-11-16,1128.5
2018-11-19,1128.6
2018-11-20,1125.8
2018-11-21,1131.6
2018-11-22,1129.2
2018-11-23,1130.5
2018-11-26,1128.9
2018-11-27,1129.4
2018-11-28,1126.5
2018-11-29,1119.2
2018-11-30,1121.2
2018-12-03,1110.7
2018-12-04,1105.3
2018-12-05,1114.1
2018-12-06,1120.3
2018-12-07,1119.8
2018-12-10,1126.5
2018-12-11,1130.1
2018-12-12,1128.5
2018-12-13,1123.4
2018-12-14,1130.8
2018-12-17,1131.3
2018-12-18,1129.6
2018-12-19,1123.5
2018-12-20,1127.8
2018-12-21,1122.4
2018-12-24,1125.2
2018-12-26,1125.4
2018-12-27,1120.0
2018-12-28,1115.7
2019-01-02,1119.0
2019-01-03,1127.7
2019-01-04,1124.5
2019-01-07,1118.6
2019-01-08,1124.1
2019-01-09,1122.1
2019-01-10,1118.3
2019-01-11,1116.4
2019-01-14,1123.0
2019-01-15,1120.7
2019-01-16,1120.1
2019-01-17,1122.5
2019-01-18,1121.9
2019-01-21,1128.1
2019-01-22,1130.5
2019-01-23,1127.3
2019-01-24,1128.6
2019-01-25,1121.3
2019-01-28,1117.7
2019-01-29,1116.5
2019-01-30,1116.3
2019-01-31,1112.7
2019-02-01,1118.8
2019-02-07,1124.1
2019-02-08,1123.9
2019-02-11,1124.7
2019-02-12,1123.9
2019-02-13,1121.7
2019-02-14,1125.1
2019-02-15,1128.7
2019-02-18,1125.8
2019-02-19,1128.2
2019-02-20,1123.5
2019-02-21,1125.2
2019-02-22,1125.2
2019-02-25,1121.0
2019-02-26,1118.6
2019-02-27,1119.1
2019-02-28,1124.7
2019-03-04,1124.9
2019-03-05,1125.5
2019-03-06,1128.8
2019-03-07,1129.0
2019-03-08,1136.2
2019-03-11,1133.7
2019-03-12,1129.8
2019-03-13,1132.6
2019-03-14,1134.8
2019-03-15,1137.3
2019-03-18,1132.1
2019-03-19,1130.6
2019-03-20,1130.4
2019-03-21,1127.7
2019-03-22,1130.1
2019-03-25,1134.2
2019-03-26,1133.4
2019-03-27,1134.5
2019-03-28,1136.8
2019-03-29,1135.1
2019-04-01,1133.7
2019-04-02,1136.4
2019-04-03,1134.3
2019-04-04,1136.3
2019-04-05,1136.6
2019-04-08,1144.7
2019-04-09,1142.1
2019-04-10,1138.6
2019-04-11,1139.4
2019-04-12,1139.4
2019-04-15,1133.1
2019-04-16,1135.7
2019-04-17,1134.8
2019-04-18,1136.9
2019-04-19,1136.9
2019-04-22,1141.5
2019-04-23,1141.8
2019-04-24,1150.9
2019-04-25,1160.5
2019-04-26,1161.0
2019-04-29,1158.5
2019-04-30,1168.2
2019-05-02,1165.7
2019-05-03,1170.0
2019-05-07,1166.5
2019-05-08,1169.4
2019-05-09,1179.8
2019-05-10,1177.0
2019-05-13,1187.5
2019-05-14,1189.4
2019-05-15,1188.6
2019-05-16,1191.5
2019-05-17,1195.7
2019-05-20,1194.2
2019-05-21,1194.0
2019-05-22,1192.8
2019-05-23,1189.2
2019-05-24,1188.4
2019-05-27,1184.5
