date,open,high,low,close,volume,trading_value,market_cap,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,trading_value_ma20,trading_value_ratio_20d
2018-02-05,1487.99,1498.1,1480.99,1489.41,143693847,8263559557872,1578528023269790,,,,,0.0,,,,
2018-02-06,1455.2,1473.56,1439.81,1468.49,199372022,10371473651627,1556773587022210,-0.014045830228076928,,,,-0.014045830228076928,0.3874777950652264,0.2550854845291175,,
2018-02-07,1488.41,1488.61,1429.82,1429.82,154698671,9298597786804,1516597823270820,-0.026333172170052266,,,,-0.04000913113246196,-0.2240703111292115,-0.10344488168802268,,
2018-02-08,1432.08,1451.05,1429.19,1441.13,158769041,10430958812463,1526579124029925,0.007910086584325349,,,,-0.03241552023955796,0.026311602896704978,0.12177761116476904,,
2018-02-09,1402.01,1419.65,1401.73,1411.9,138449265,8212915363740,1496439968175220,-0.020282694829751646,,,,-0.05204074096454303,-0.12798323824353142,-0.21264041864232675,,
2018-02-12,1423.66,1436.3,1416.36,1427.55,114108175,6398759342890,1510351800304895,0.011084354416035058,-0.04153322456543207,,,-0.04153322456543207,-0.1758123454104289,-0.22089062659278025,,
2018-02-13,1439.39,1452.19,1430.3,1434.38,114259384,6769068044401,1515320153497045,0.0047844208609155725,-0.023227941627113502,,,-0.036947516130548363,0.0013251373093996488,0.057871953243947116,,
2018-02-14,1446.41,1456.33,1444.98,1454.65,96314751,5830722402248,1535231010415090,0.014131541153669103,0.017365822271334874,,,-0.023338100321603883,-0.15705172189620764,-0.13862257492434982,,
2018-02-19,1474.29,1475.82,1457.56,1469.18,101195604,6191335945531,1551056857410610,0.00998865706527341,0.01946389291736339,,,-0.01358255953699783,0.050676069338537744,0.06184714661496615,,
2018-02-20,1461.87,1465.72,1446.54,1449.26,85297793,4854689713649,1531068494855360,-0.013558583699750937,0.026460797506905553,,,-0.02695698296640958,-0.15709981828854935,-0.2158897923875075,,
2018-02-21,1451.22,1460.38,1441.72,1458.37,90114430,5455577951884,1541151635002385,0.006285966631246254,0.021589436447059684,,,-0.0208404670305693,0.05646848330530663,0.12377479791254165,,
2018-02-22,1450.03,1453.18,1442.13,1447.7,88357039,4600298529931,1530782522943325,-0.007316387473686237,0.009286242139460832,,,-0.02800437757232732,-0.0195017712479566,-0.15677155188620162,,
2018-02-23,1455.37,1469.73,1455.37,1469.73,102436893,5558073827705,1554660381206070,0.015217241141120441,0.010366754889492347,,,-0.013213285797732066,0.15935180897132595,0.20819850962767106,,
2018-02-26,1478.17,1478.68,1467.37,1473.57,119778003,5575665036361,1559127559514130,0.0026127247861851277,0.0029880613675654644,,,-0.010635083690857527,0.1692857865183397,0.0031649829061848322,,
2018-02-27,1484.99,1489.77,1474.77,1474.77,101335927,5842864492049,1558541326119565,0.0008143488263196996,0.017602086582117815,,,-0.009829395532459206,-0.15396880510689426,0.04792243686546671,,
2018-02-28,1468.37,1477.2,1455.14,1456.18,128868284,7488615895023,1538924103849825,-0.012605355411352215,-0.0015016765292756862,,,-0.022310847919645993,0.27169393733379477,0.2816685899893019,,
2018-03-02,1443.65,1446.28,1431.67,1441.22,115655213,6222204435564,1524046834469985,-0.010273455204713677,-0.004476065483180247,,,-0.03235509362767808,-0.10253159730131889,-0.16911155241660458,,
2018-03-05,1444.05,1445.81,1423.89,1424.35,98358272,5936562463429,1506649309314910,-0.011705360736043113,-0.03087641947840769,,,-0.04368172632116085,-0.1495560861575691,-0.04590687674972038,,
