stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped,periods,correction_periods,correction_filings,correction_period_rate
000030,,00254045,우리은행,stock_code,True,35,10,11,0.2857142857142857
000060,,00117744,메리츠화재해상보험,stock_code,True,36,21,26,0.5833333333333334
000070,,00126937,삼양홀딩스,stock_code,True,35,3,3,0.08571428571428572
000080,,00150244,하이트진로,stock_code,True,42,15,17,0.35714285714285715
000100,,00145109,유한양행,stock_code,True,35,0,0,0.0
000120,,00113410,CJ대한통운,stock_code,True,35,5,5,0.14285714285714285
000150,,00117212,두산,stock_code,True,35,8,12,0.22857142857142856
000210,,00109693,DL,stock_code,True,36,9,11,0.25
000240,,00160047,한국앤컴퍼니,stock_code,True,35,6,11,0.17142857142857143
000250,,00128546,삼천당제약,stock_code,True,35,5,5,0.14285714285714285
000270,,00106641,기아,stock_code,True,38,10,10,0.2631578947368421
000370,,00135917,한화손해보험,stock_code,True,35,16,18,0.45714285714285713
000400,,00113562,롯데손해보험,stock_code,True,35,21,28,0.6
000500,,00104768,가온전선,stock_code,True,35,4,4,0.11428571428571428
000640,,00116824,동아쏘시오홀딩스,stock_code,True,35,0,0,0.0
000660,,00164779,SK하이닉스,stock_code,True,35,3,3,0.08571428571428572
000670,,00141307,영풍,stock_code,True,36,5,6,0.1388888888888889
000720,,00164478,현대건설,stock_code,True,35,3,4,0.08571428571428572
000810,,00139214,삼성화재해상보험,stock_code,True,35,9,9,0.2571428571428571
000880,,00160588,한화,stock_code,True,35,18,26,0.5142857142857142
000990,,00160843,DB하이텍,stock_code,True,35,3,3,0.08571428571428572
001040,,00148540,CJ,stock_code,True,35,2,2,0.05714285714285714
001060,,00149947,JW중외제약,stock_code,True,36,5,7,0.1388888888888889
001120,,00120076,LX인터내셔널,stock_code,True,35,3,3,0.08571428571428572
001230,,00114792,동국홀딩스,stock_code,True,35,6,6,0.17142857142857143
001430,,00106669,세아베스틸지주,stock_code,True,35,2,2,0.05714285714285714
001440,,00113207,대한전선,stock_code,True,35,2,3,0.05714285714285714
001450,,00164973,현대해상,stock_code,True,35,9,9,0.2571428571428571
001520,,00117337,동양,stock_code,True,35,7,9,0.2
001530,,00118345,디아이동일,stock_code,True,35,2,3,0.05714285714285714
001570,,00106119,금양,stock_code,True,34,5,7,0.14705882352941177
001630,,00149354,종근당홀딩스,stock_code,True,35,2,2,0.05714285714285714
001680,,00121941,대상,stock_code,True,35,8,9,0.22857142857142856
001720,,00136721,신영증권,stock_code,True,35,4,4,0.11428571428571428
001740,,00131780,SK네트웍스,stock_code,True,35,6,7,0.17142857142857143
001800,,00117577,오리온홀딩스,stock_code,True,35,0,0,0.0
001820,,00129350,삼화콘덴서공업,stock_code,True,35,0,0,0.0
