stock_code,period_key,rcept_no,rcept_dt,is_correction,source_type,zip_path,document_member,table_index,row_index,account_family,matched_account_name,statement_score,statement_score_reason,unit_hint,heading_context,columns_json,row_cells_json,numeric_candidates_json,row_text
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,53,1,net_income,당기순이익,1,consolidated_hint=연결 | separate_hint=별도,,"나. 최근 3사업연도 배당에 관한 사항 || 사업년도 개시일 이후 제1항의 기준일 이전에 신주를 발행한 경우(준비금의 자본전입, 주식배당, 전환사채의 전환청구, 신주인수권부사채의 신주인수권 행사. 주식매수선택 권 행사의 경우를 포함한다)에는 중간배당에 관해서는 당해 신주는 직전사업년도 말 에 발행된 것으로 봅니다. 4) 중간배당을 할 때에는 정관 제6조의 우선주식에 대하여도 보통주식과 동일한 배 당률을 적용합니다. 5) 당해 결산기에 이익이 예상되지 않는 경우에는 중간배당을 하여서는 아니됩니다. || 3) || 5. 중간배당에 따라 당해 결산기에 적립하여야 할 이익준비금","[""구 분 | 구 분"", ""주식의 종류 | 주식의 종류"", ""당기 | 제185기 반기"", ""전기 | 제184기"", ""전전기 | 제183기""]","[""(연결)당기순이익(백만원)"", ""(연결)당기순이익(백만원)"", ""nan"", ""nan"", ""nan""]",[],(연결)당기순이익(백만원) | (연결)당기순이익(백만원) | nan | nan | nan
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,53,2,net_income,당기순이익,1,consolidated_hint=연결 | separate_hint=별도,,"나. 최근 3사업연도 배당에 관한 사항 || 사업년도 개시일 이후 제1항의 기준일 이전에 신주를 발행한 경우(준비금의 자본전입, 주식배당, 전환사채의 전환청구, 신주인수권부사채의 신주인수권 행사. 주식매수선택 권 행사의 경우를 포함한다)에는 중간배당에 관해서는 당해 신주는 직전사업년도 말 에 발행된 것으로 봅니다. 4) 중간배당을 할 때에는 정관 제6조의 우선주식에 대하여도 보통주식과 동일한 배 당률을 적용합니다. 5) 당해 결산기에 이익이 예상되지 않는 경우에는 중간배당을 하여서는 아니됩니다. || 3) || 5. 중간배당에 따라 당해 결산기에 적립하여야 할 이익준비금","[""구 분 | 구 분"", ""주식의 종류 | 주식의 종류"", ""당기 | 제185기 반기"", ""전기 | 제184기"", ""전전기 | 제183기""]","[""(별도)당기순이익(백만원)"", ""(별도)당기순이익(백만원)"", ""nan"", ""nan"", ""nan""]",[],(별도)당기순이익(백만원) | (별도)당기순이익(백만원) | nan | nan | nan
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,19,revenue,영업수익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""기타 영업부문"", ""기타 영업수익"", ""소 계"", ""57244"", ""131052"", ""132205""]","[{""column"": ""3"", ""raw"": ""57244"", ""numeric"": 57244.0}, {""column"": ""4"", ""raw"": ""131052"", ""numeric"": 131052.0}, {""column"": ""5"", ""raw"": ""132205"", ""numeric"": 132205.0}]",기타 영업부문 | 기타 영업수익 | 소 계 | 57244 | 131052 | 132205
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,20,revenue,영업수익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""기타 영업부문"", ""기타 영업수익"", ""유가증권관련수익"", ""1064"", ""2575"", ""1229""]","[{""column"": ""3"", ""raw"": ""1064"", ""numeric"": 1064.0}, {""column"": ""4"", ""raw"": ""2575"", ""numeric"": 2575.0}, {""column"": ""5"", ""raw"": ""1229"", ""numeric"": 1229.0}]",기타 영업부문 | 기타 영업수익 | 유가증권관련수익 | 1064 | 2575 | 1229
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,21,revenue,영업수익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""기타 영업부문"", ""기타 영업수익"", ""외환거래이익"", ""8474"", ""33911"", ""47918""]","[{""column"": ""3"", ""raw"": ""8474"", ""numeric"": 8474.0}, {""column"": ""4"", ""raw"": ""33911"", ""numeric"": 33911.0}, {""column"": ""5"", ""raw"": ""47918"", ""numeric"": 47918.0}]",기타 영업부문 | 기타 영업수익 | 외환거래이익 | 8474 | 33911 | 47918
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,22,revenue,영업수익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""기타 영업부문"", ""기타 영업수익"", ""충당금환입액"", ""861"", ""348"", ""423""]","[{""column"": ""3"", ""raw"": ""861"", ""numeric"": 861.0}, {""column"": ""4"", ""raw"": ""348"", ""numeric"": 348.0}, {""column"": ""5"", ""raw"": ""423"", ""numeric"": 423.0}]",기타 영업부문 | 기타 영업수익 | 충당금환입액 | 861 | 348 | 423
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,23,revenue,영업수익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""기타 영업부문"", ""기타 영업수익"", ""파생금융상품관련이익"", ""43876"", ""88569"", ""75718""]","[{""column"": ""3"", ""raw"": ""43876"", ""numeric"": 43876.0}, {""column"": ""4"", ""raw"": ""88569"", ""numeric"": 88569.0}, {""column"": ""5"", ""raw"": ""75718"", ""numeric"": 75718.0}]",기타 영업부문 | 기타 영업수익 | 파생금융상품관련이익 | 43876 | 88569 | 75718
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,24,revenue,영업수익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""기타 영업부문"", ""기타 영업수익"", ""기타영업잡수익"", ""2968"", ""5649"", ""6917""]","[{""column"": ""3"", ""raw"": ""2968"", ""numeric"": 2968.0}, {""column"": ""4"", ""raw"": ""5649"", ""numeric"": 5649.0}, {""column"": ""5"", ""raw"": ""6917"", ""numeric"": 6917.0}]",기타 영업부문 | 기타 영업수익 | 기타영업잡수익 | 2968 | 5649 | 6917
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,36,operating_income,영업이익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""영업이익"", ""영업이익"", ""영업이익"", ""18077"", ""21567"", ""15742""]","[{""column"": ""3"", ""raw"": ""18077"", ""numeric"": 18077.0}, {""column"": ""4"", ""raw"": ""21567"", ""numeric"": 21567.0}, {""column"": ""5"", ""raw"": ""15742"", ""numeric"": 15742.0}]",영업이익 | 영업이익 | 영업이익 | 18077 | 21567 | 15742
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,40,operating_income,영업이익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""법인세비용차감전 계속영업이익"", ""법인세비용차감전 계속영업이익"", ""법인세비용차감전 계속영업이익"", ""18015"", ""19495"", ""15534""]","[{""column"": ""3"", ""raw"": ""18015"", ""numeric"": 18015.0}, {""column"": ""4"", ""raw"": ""19495"", ""numeric"": 19495.0}, {""column"": ""5"", ""raw"": ""15534"", ""numeric"": 15534.0}]",법인세비용차감전 계속영업이익 | 법인세비용차감전 계속영업이익 | 법인세비용차감전 계속영업이익 | 18015 | 19495 | 15534
