stock_code,period_key,rcept_no,rcept_dt,statement_type,table_selection_status,selected_table_index,selected_table_score,account_family,unit_hint,heading_context,columns_json,value_selection_status,matched_account_name,row_index,selected_column,selected_column_score,selected_column_reason,raw_numeric_value,unit_multiplier,selected_value_krw,row_text,candidate_rows_json
000030,반기보고서_(2018.06),20180814002502,2018-08-14,balance,selected,265,64.0,assets,백만원,(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,"[""과 목 | 과 목"", ""2018년 반기말 | 제 185기 반기"", ""2017년말 | 제 184기"", ""2016년말 | 제 183기""]",selected,자산총계,20.0,2018년 반기말 | 제 185기 반기,19.0,year=2018 | H1 | 반기말,326561330.0,1000000.0,326561330000000.0,자산총계 | 326561330 | 316295461 | 310682727,
000030,반기보고서_(2018.06),20180814002502,2018-08-14,balance,selected,265,64.0,equity,백만원,(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,"[""과 목 | 과 목"", ""2018년 반기말 | 제 185기 반기"", ""2017년말 | 제 184기"", ""2016년말 | 제 183기""]",ambiguous_rows,,,,,,,,,,"[{""family"": ""equity"", ""matched_account_name"": ""자본총계"", ""row_index"": 43, ""row_text"": ""자본총계 | 20996611 | 20564900 | 20545953"", ""column_status"": ""selected"", ""selected_column"": ""2018년 반기말 | 제 185기 반기"", ""selected_column_score"": 19.0, ""selected_column_reason"": ""year=2018 | H1 | 반기말"", ""raw_numeric_value"": 20996611.0, ""unit_hint"": ""백만원"", ""unit_multiplier"": 1000000.0, ""selected_value_krw"": 20996611000000.0, ""column_candidates"": ""[{\""column\"": \""2018년 반기말 | 제 185기 반기\"", \""raw\"": \""20996611\"", \""numeric\"": 20996611.0, \""score\"": 19.0, \""reasons\"": \""year=2018 | H1 | 반기말\""}, {\""column\"": \""2017년말 | 제 184기\"", \""raw\"": \""20564900\"", \""numeric\"": 20564900.0, \""score\"": 0.0, \""reasons\"": \""\""}, {\""column\"": \""2016년말 | 제 183기\"", \""raw\"": \""20545953\"", \""numeric\"": 20545953.0, \""score\"": 0.0, \""reasons\"": \""\""}]""}, {""family"": ""equity"", ""matched_account_name"": ""자본총계"", ""row_index"": 44, ""row_text"": ""부채와자본총계 | 326561330 | 316295461 | 310682727"", ""column_status"": ""selected"", ""selected_column"": ""2018년 반기말 | 제 185기 반기"", ""selected_column_score"": 19.0, ""selected_column_reason"": ""year=2018 | H1 | 반기말"", ""raw_numeric_value"": 326561330.0, ""unit_hint"": ""백만원"", ""unit_multiplier"": 1000000.0, ""selected_value_krw"": 326561330000000.0, ""column_candidates"": ""[{\""column\"": \""2018년 반기말 | 제 185기 반기\"", \""raw\"": \""326561330\"", \""numeric\"": 326561330.0, \""score\"": 19.0, \""reasons\"": \""year=2018 | H1 | 반기말\""}, {\""column\"": \""2017년말 | 제 184기\"", \""raw\"": \""316295461\"", \""numeric\"": 316295461.0, \""score\"": 0.0, \""reasons\"": \""\""}, {\""column\"": \""2016년말 | 제 183기\"", \""raw\"": \""310682727\"", \""numeric\"": 310682727.0, \""score\"": 0.0, \""reasons\"": \""\""}]""}]"
000030,반기보고서_(2018.06),20180814002502,2018-08-14,balance,selected,265,64.0,liabilities,백만원,(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,"[""과 목 | 과 목"", ""2018년 반기말 | 제 185기 반기"", ""2017년말 | 제 184기"", ""2016년말 | 제 183기""]",selected,부채총계,34.0,2018년 반기말 | 제 185기 반기,19.0,year=2018 | H1 | 반기말,305564719.0,1000000.0,305564719000000.0,부채총계 | 305564719 | 295730561 | 290136774,
000060,반기보고서_(2020.06),20200814001271,2020-08-14,balance,selected,668,-25.0,assets,백만원,"(단위 : 백만원) || 주식회사메리츠금융지주 || 주식회사메리츠금융지주 || 주1) 상기 현황은 ㈜메리츠금융지주의 제11기 1분기보고서(공시일자: 2020.05.15) 상의 개별재무제표 기준임 주2) BS 기준일 : 2020.03.31, IS 기준일 : 2020.01.01 ~ 2020.03.31","[""구 분 | 구 분"", ""제10기 1분기 | (2019년 3월말)"", ""제10기 기말 | (2019년 12월말)"", ""제9기 기말 | (2018년 12월말)""]",missing_family,,,,,,,,,,
000060,반기보고서_(2020.06),20200814001271,2020-08-14,balance,selected,668,-25.0,equity,백만원,"(단위 : 백만원) || 주식회사메리츠금융지주 || 주식회사메리츠금융지주 || 주1) 상기 현황은 ㈜메리츠금융지주의 제11기 1분기보고서(공시일자: 2020.05.15) 상의 개별재무제표 기준임 주2) BS 기준일 : 2020.03.31, IS 기준일 : 2020.01.01 ~ 2020.03.31","[""구 분 | 구 분"", ""제10기 1분기 | (2019년 3월말)"", ""제10기 기말 | (2019년 12월말)"", ""제9기 기말 | (2018년 12월말)""]",missing_family,,,,,,,,,,
000060,반기보고서_(2020.06),20200814001271,2020-08-14,balance,selected,668,-25.0,liabilities,백만원,"(단위 : 백만원) || 주식회사메리츠금융지주 || 주식회사메리츠금융지주 || 주1) 상기 현황은 ㈜메리츠금융지주의 제11기 1분기보고서(공시일자: 2020.05.15) 상의 개별재무제표 기준임 주2) BS 기준일 : 2020.03.31, IS 기준일 : 2020.01.01 ~ 2020.03.31","[""구 분 | 구 분"", ""제10기 1분기 | (2019년 3월말)"", ""제10기 기말 | (2019년 12월말)"", ""제9기 기말 | (2018년 12월말)""]",missing_family,,,,,,,,,,
000060,반기보고서_(2020.06),20210115000067,2021-01-15,balance,selected,674,-25.0,assets,백만원,"(단위 : 백만원) || 주식회사메리츠금융지주 || 주식회사메리츠금융지주 || 주1) 상기 현황은 ㈜메리츠금융지주의 제11기 1분기보고서(공시일자: 2020.05.15) 상의 개별재무제표 기준임 주2) BS 기준일 : 2020.03.31, IS 기준일 : 2020.01.01 ~ 2020.03.31","[""구 분 | 구 분"", ""제10기 1분기 | (2019년 3월말)"", ""제10기 기말 | (2019년 12월말)"", ""제9기 기말 | (2018년 12월말)""]",missing_family,,,,,,,,,,
000060,반기보고서_(2020.06),20210115000067,2021-01-15,balance,selected,674,-25.0,equity,백만원,"(단위 : 백만원) || 주식회사메리츠금융지주 || 주식회사메리츠금융지주 || 주1) 상기 현황은 ㈜메리츠금융지주의 제11기 1분기보고서(공시일자: 2020.05.15) 상의 개별재무제표 기준임 주2) BS 기준일 : 2020.03.31, IS 기준일 : 2020.01.01 ~ 2020.03.31","[""구 분 | 구 분"", ""제10기 1분기 | (2019년 3월말)"", ""제10기 기말 | (2019년 12월말)"", ""제9기 기말 | (2018년 12월말)""]",missing_family,,,,,,,,,,
000060,반기보고서_(2020.06),20210115000067,2021-01-15,balance,selected,674,-25.0,liabilities,백만원,"(단위 : 백만원) || 주식회사메리츠금융지주 || 주식회사메리츠금융지주 || 주1) 상기 현황은 ㈜메리츠금융지주의 제11기 1분기보고서(공시일자: 2020.05.15) 상의 개별재무제표 기준임 주2) BS 기준일 : 2020.03.31, IS 기준일 : 2020.01.01 ~ 2020.03.31","[""구 분 | 구 분"", ""제10기 1분기 | (2019년 3월말)"", ""제10기 기말 | (2019년 12월말)"", ""제9기 기말 | (2018년 12월말)""]",missing_family,,,,,,,,,,
000030,반기보고서_(2018.06),20180814002502,2018-08-14,income,selected,164,38.0,net_income,백만원,(단위 : 백만원) || 가.영업실적 || 업 종류별 현황,"[""구 분"", ""2018년 6월 (제47기 반기)"", ""2017년 (제46기)"", ""2016년 (제45기)""]",selected,당기순이익(손실),4.0,2018년 6월 (제47기 반기),15.0,year=2018 | month=6 | H1,16178.0,1000000.0,16178000000.0,당기순이익(손실) | 16178 | 21742 | 23876,
