stock_code,period_key,rcept_no,rcept_dt,table_index,ranking_score,base_statement_score,balance_coverage,income_coverage,families,unit_hints,false_positive_hits,score_reason,heading_context,columns_json,assets_rows,liabilities_rows,equity_rows,revenue_rows,operating_income_rows,net_income_rows,rank_within_receipt
000030,반기보고서_(2018.06),20180814002502,2018-08-14,265,14.0,8.0,3,0,assets | equity | liabilities,백만원,,"statement_heading=연결재무상태표,재무상태표 | consolidated_hint=연결,연결재무,종속기업",(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,"[""과 목 | 과 목"", ""2018년 반기말 | 제 185기 반기"", ""2017년말 | 제 184기"", ""2016년말 | 제 183기""]",자산총계 | 326561330 | 316295461 | 310682727,부채총계 | 305564719 | 295730561 | 290136774,자본총계 | 20996611 | 20564900 | 20545953 || 부채와자본총계 | 326561330 | 316295461 | 310682727,,,,1
000030,반기보고서_(2018.06),20180814002502,2018-08-14,937,12.0,0.0,3,3,assets | equity | liabilities | net_income | operating_income | revenue,백만원,,,(단위 : 백만원) || 다. 최대주주(법인 또는 단체)의 최근 결산기 재무현황,"[""구 분"", ""Unnamed: 1""]",자산총계 | nan,부채총계 | nan,자본총계 | nan,매출액 | nan,영업이익 | nan,당기순이익 | nan,2
000030,반기보고서_(2018.06),20180814002502,2018-08-14,274,9.0,3.0,3,0,assets | equity | liabilities,백만원,,consolidated_hint=종속기업,(단위:백만원) || 주식회사 우리은행과 그 종속기업 || 2016년 12월 31일 현재 || 제183(전전)기 || 제183(전전)기 2016년 12월 31일 현재,"[""과 목"", ""제185(당) 반기"", ""제185(당) 반기.1"", ""제184(전)기"", ""제184(전)기.1"", ""제183(전전)기"", ""제183(전전)기.1""]",자산총계 | nan | 326561330.0 | nan | 316295461.0 | nan | 310682727.0,부채총계 | nan | 305564719.0 | nan | 295730561.0 | nan | 290136774.0,자본총계 | nan | 20996611.0 | nan | 20564900.0 | nan | 20545953.0 || 부채와자본총계 | nan | 326561330.0 | nan | 316295461.0 | nan | 310682727.0,,,,3
000030,반기보고서_(2018.06),20180814002502,2018-08-14,553,9.0,3.0,3,0,assets | equity | liabilities,백만원,,consolidated_hint=종속기업,(단위:백만원) || 주식회사 우리은행 || 제183(전전)기 2016년 12월 31일 현재 || 제184(전)기 2017년 12월 31일 현재,"[""과 목"", ""제185(당) 반기"", ""제185(당) 반기.1"", ""제184(전)기"", ""제184(전)기.1"", ""제183(전전)기"", ""제183(전전)기.1""]",자산총계 | nan | 304499490.0 | nan | 296737571.0 | nan | 290772143.0,부채총계 | nan | 284321725.0 | nan | 276943481.0 | nan | 270919625.0,자본총계 | nan | 20177765.0 | nan | 19794090.0 | nan | 19852518.0 || 부채와자본총계 | nan | 304499490.0 | nan | 296737571.0 | nan | 290772143.0,,,,3
000030,반기보고서_(2018.06),20180814002502,2018-08-14,269,8.0,2.0,3,0,assets | equity | liabilities,백만원,,statement_heading=재무상태표 | consolidated_hint=종속기업 | separate_hint=별도 | note_penalty=요약재무,(단위:백만원) || (주식회사 우리은행) || 1) 요약재무상태표 || 나. 요약별도재무정보 (,"[""과 목 | 과 목"", ""2018년 반기말 | 제185기 반기"", ""2017년말 | 제184기"", ""2016년말 | 제183기""]",자산총계 | 304499490 | 296737571 | 290772143,부채총계 | 284321725 | 276943481 | 270919625,자본총계 | 20177765 | 19794090 | 19852518 || 부채와자본총계 | 304499490 | 296737571 | 290772143,,,,4
000030,반기보고서_(2018.06),20180814002502,2018-08-14,267,7.0,3.0,0,2,net_income | operating_income,백만원,,consolidated_hint=종속기업,(단위:백만원) || (주식회사 우리은행과 종속기업),"[""과 목 | 과 목"", ""2018년 반기중 | 제185기 반기"", ""2017년 반기중 | 제184기 반기"", ""2017년 기중 | 제184기"", ""2016년 기중 | 제183기""]",,,,,I. 영업이익 | 1807715 | 1484228 | 2156742 | 1574206,V. 당기순이익 | 1316316 | 1109015 | 1530088 | 1277533,5
000030,반기보고서_(2018.06),20180814002502,2018-08-14,271,7.0,5.0,0,1,operating_income,백만원,,"statement_heading=손익계산서,포괄손익계산서",(단위:백만원) || (주식회사 우리은행) || 2) 요약포괄손익계산서,"[""과 목 | 과 목"", ""2018년 반기중 | 제185기 반기"", ""2017년 반기중 | 제184기 반기"", ""2017년 기중 | 제184기"", ""2016년 기중 | 제183기""]",,,,,I. 영업이익 | 1623039 | 1298340 | 1790558 | 1270501,,5
000030,반기보고서_(2018.06),20180814002502,2018-08-14,164,6.0,0.0,0,3,net_income | operating_income | revenue,백만원,,,(단위 : 백만원) || 가.영업실적 || 업 종류별 현황,"[""구 분"", ""2018년 6월 (제47기 반기)"", ""2017년 (제46기)"", ""2016년 (제45기)""]",,,,영업수익 | 108452 | 183595 | 177379,영업이익(손실) | 17000 | 23254 | 21364,당기순이익(손실) | 16178 | 21742 | 23876,6
000030,반기보고서_(2018.06),20180814002502,2018-08-14,262,6.0,0.0,3,0,assets | equity | liabilities,억원,,,(단위 : 억원) || 황 || 나. 종류별 영업현,"[""0"", ""1"", ""2"", ""3"", ""4""]",자산총계 | 자산총계 | 7782 | 7867 | 7851,부채총계 | 부채총계 | 3.0 | 3.0 | 3.0,자본총계 | 자본총계 | 7780 | 7864 | 7847,,,,6
000030,반기보고서_(2018.06),20180814002502,2018-08-14,278,5.0,3.0,0,1,operating_income,백만원,,consolidated_hint=종속기업,(단위:백만원) || 주식회사 우리은행과 그 종속기업 || 제183(전전)기 2016년 01월 01일부터 2016년 12월 31일까지 || 제184(전)기 2017년 01월 01일부터 2017년 12월 31일까지,"[""과 목"", ""제185(당) 반기"", ""제185(당) 반기.1"", ""제184(전) 반기"", ""제184(전) 반기.1"", ""제184(전)기"", ""제184(전)기.1"", ""제183(전전)기"", ""제183(전전)기.1""]",,,,,I. 영업이익 | nan | 1807715 | nan | 1484228 | nan | 2156742 | nan | 1574206,,7
000030,반기보고서_(2018.06),20180814002502,2018-08-14,282,5.0,3.0,0,1,net_income,백만원,,consolidated_hint=종속기업,(단위:백만원) || 주식회사 우리은행과 그 종속기업 || 제183(전전)기 2016년 01월 01일부터 2016년 12월 31일까지 || 제184(전)기 2017년 01월 01일부터 2017년 12월 31일까지,"[""과 목"", ""자 본 금"", ""신종자본 증권"", ""자본 잉여금"", ""기타자본 등"", ""이익 잉여금"", ""지배기업 소유주지분 합계"", ""비지배 지분"", ""총 계""]",,,,,,당기순이익 | - | - | - | - | 1261266 | 1261266 | 16267 | 1277533 || 당기순이익 | - | - | - | - | 1512148 | 1512148 | 17940 | 1530088 || 반기순이익 | - | - | - | - | 1098361 | 1098361 | 10654 | 1109015 || 반기순이익 | - | - | - | - | 1305878 | 1305878 | 10438 | 1316316,7
000030,반기보고서_(2018.06),20180814002502,2018-08-14,560,5.0,3.0,0,1,operating_income,백만원,,consolidated_hint=종속기업,(단위:백만원) || 주식회사 우리은행 || 제183(전전)기 2016년 01월 01일부터 2016년 12월 31일까지 || 제184(전)기 2017년 01월 01일부터 2017년 12월 31일까지,"[""과 목"", ""제 185(당) 반기"", ""제 185(당) 반기.1"", ""제 184(전) 반기"", ""제 184(전) 반기.1"", ""제 184(전)기"", ""제 184(전)기.1"", ""제 183(전전)기"", ""제 183(전전)기.1""]",,,,,I. 영업이익 | nan | 1623039 | nan | 1298340 | nan | 1790558 | nan | 1270501,,7
000030,반기보고서_(2018.06),20180814002502,2018-08-14,964,5.0,3.0,0,1,net_income,백만원,,consolidated_hint=연결,(단위 : 백만원) || 2) 산정기준 및 방법 || 2) 산정기준 및 방법 || 해당사항 없음,"[""이름"", ""보수의 종류"", ""보수의 종류.1"", ""총액"", ""산정기준 및 방법""]",,,,,,"손태승 | 근로소득 | 상여 | 187 | 상여금액은 2017년 재임기간에 대한 기본성과급과 2014년 재임기간에 대한 이연성과급이 포함되어 있음 보상위원회에서 결의된 경영진 보수지급기준에 따라 BIS자기자본비율과 같은 자본적정성 지표, 총자산이익률, 자기자본이익률과 같은 수익성 지표, 고정이하여신비율과 같은 건전성 지표 등으로 구성된 재무지표와 경영과제, 그룹 경영 관리, 대 이사회 관계, 윤리경영 등으로 구성된 비재무지표를 종합적으로 평가하여 평가대상기간 다음 해에 기본성과급을 40%의 비율로 지급하고, 장기달성도를 고려하여 3년이 지난 시점에 이연성과급을 60% 비율로 지급 재무지표와 관련하여 연결기준 당기순이익이 1조 5,121억원으로 전년대비 19.9% 증가한 점, 부실우려자산 감축 등을 통한 철저한 리스크 관리로 2017년말 고정이하여신비율 0.83% 등 자산건전성이 양호하게 유지되고 있는 점 등이 성과에 반영됨 비재무지표와 관련해서는 활동성 고객 및 PB 고객 증대 등으로 고객기반을 확대, 동남아 중심 글로벌 Business 성장으로 국내은행 최다 글로벌 네트워크를 달성(301개), 자산관리 관련 주요상품 판매 확대 등으로 비이자이익을 증대, 우량자산 지속 증대 및 선제적 리스크 관리로 건전성을 개선, 非은행 부문 사업 포트폴리오를 강화한 점과 뱅커誌 '2017 아시아 최우수은행(Bank of the year in Asia-Pacific 2017)'으로 선정된 점 등을 반영하여 성과급 187백만원을 산출·지급하였음",7
000030,반기보고서_(2018.06),20180814002502,2018-08-14,137,4.0,0.0,0,2,net_income | revenue,억원,,,(단위 : 억원) || (단위 : 억원) || 가.영업실적,"[""구 분"", ""2018년 6월 (제6기 반기)"", ""2017년 (제5기)"", ""2016년 (제4기)""]",,,,영업수익 | 9447 | 17670 | 15515,,당기순이익 | 676 | 1012 | 1094,8
000030,반기보고서_(2018.06),20180814002502,2018-08-14,339,4.0,0.0,0,2,net_income | operating_income,백만원,,,"<제184(전)기 반기> || 1,316,316 || (39,899) || 1,356,215 || 191,433 || 67,618 || 32,197 || 114,354","[""(단위:백만원) | 영업부문항목명"", ""(단위:백만원) | 개인금융"", ""(단위:백만원) | 기업금융"", ""(단위:백만원) | 투자금융"", ""(단위:백만원) | 자금시장"", ""(단위:백만원) | 신용카드"", ""(단위:백만원) | 본사/기타"", ""(단위:백만원) | 보고부문합계"", ""(단위:백만원) | 조정"", ""(단위:백만원) | 합 계""]",,,,,영업이익 | 218089 | 616524 | 121897 | 54434 | 84079 | 380952 | 1475975 | 8253 | 1484228,"반기순이익 | 172028 | 474264 | 109514 | 41261 | 61864 | 303931 | 1162862 | (53,847) | 1109015",8
000030,반기보고서_(2018.06),20180814002502,2018-08-14,607,4.0,0.0,0,2,net_income | operating_income,백만원,,,"<제184(전)기 반기> || 1,204,815 || - || 1,204,815 || 107,651 || 32,197 || 114,354 || 698,770","[""(단위:백만원) | 영업부문항목명"", ""(단위:백만원) | 개인금융"", ""(단위:백만원) | 기업금융"", ""(단위:백만원) | 투자금융"", ""(단위:백만원) | 자금시장"", ""(단위:백만원) | 본사/기타"", ""(단위:백만원) | 보고부문 합계"", ""(단위:백만원) | 조정"", ""(단위:백만원) | 합 계""]",,,,,영업이익 | 218088 | 616525 | 121897 | 54434 | 287396 | 1298340 | - | 1298340,반기순이익 | 172028 | 474265 | 109514 | 41261 | 207358 | 1004426 | - | 1004426,8
000030,반기보고서_(2018.06),20180814002502,2018-08-14,65,2.0,-4.0,0,3,net_income | operating_income | revenue,억원,,note_penalty=부문별,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]",,,,기타 영업부문 | 기타 영업수익 | 소 계 | 57244 | 131052 | 132205 || 기타 영업부문 | 기타 영업수익 | 유가증권관련수익 | 1064 | 2575 | 1229 || 기타 영업부문 | 기타 영업수익 | 외환거래이익 | 8474 | 33911 | 47918 || 기타 영업부문 | 기타 영업수익 | 충당금환입액 | 861 | 348 | 423 || 기타 영업부문 | 기타 영업수익 | 파생금융상품관련이익 | 43876 | 88569 | 75718,영업이익 | 영업이익 | 영업이익 | 18077 | 21567 | 15742 || 법인세비용차감전 계속영업이익 | 법인세비용차감전 계속영업이익 | 법인세비용차감전 계속영업이익 | 18015 | 19495 | 15534 || 중단영업이익 | 중단영업이익 | 중단영업이익 | - | - | -,당기순이익 | 당기순이익 | 당기순이익 | 13163 | 15301 | 12775,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,84,2.0,0.0,0,1,revenue,나,,,품 || 1)기업수신상 || 2) 기업상품 || (,"[""0"", ""1"", ""2""]",,,,우리동네사장님 적금 | 신용카드 가맹점 결제계좌 이용 고객에게 우대금리 및 부대서비스를 제공하는 적립식 예금 상품 (우대금리 제공 및 가맹점 매출액 일정비율 자동 적립 서비스 등 혜택 제공) | -가입대상 : 실명의 개인사업자(1인 1계좌) -정기적립식 및 자유적립식 계좌 운용,,,9
