stock_code,period_key,rcept_no,rcept_dt,is_correction,source_type,zip_path,status,candidate_count
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,ok,87
000060,반기보고서_(2020.06),20200814001271,2020-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000060\반기보고서_(2020.06)\20200814_original_20200814001271_document.zip,ok,35
000060,반기보고서_(2020.06),20210115000067,2021-01-15,True,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000060\반기보고서_(2020.06)\20210115_correction_20210115000067_document.zip,ok,35
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000070\반기보고서_(2022.06)\20220816_correction_20220816002633_xbrl.zip,ok,88
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000070\반기보고서_(2022.06)\20220816_original_20220816002215_xbrl.zip,ok,88
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000080\반기보고서_(2016.06)\20210210_correction_20210210001188_xbrl.zip,ok,100
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000080\반기보고서_(2016.06)\20210210_correction_20210210001252_xbrl.zip,ok,100
000120,반기보고서_(2019.06),20190814002624,2019-08-14,False,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000120\반기보고서_(2019.06)\20190814_original_20190814002624_xbrl.zip,ok,92
000120,반기보고서_(2019.06),20191002000607,2019-10-02,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000120\반기보고서_(2019.06)\20191002_correction_20191002000607_xbrl.zip,ok,92
000150,반기보고서_(2023.06),20230814002153,2023-08-14,False,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000150\반기보고서_(2023.06)\20230814_original_20230814002153_xbrl.zip,ok,73
000150,반기보고서_(2023.06),20230922000499,2023-09-22,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000150\반기보고서_(2023.06)\20230922_correction_20230922000499_xbrl.zip,ok,73
000210,반기보고서_(2017.06),20180228002234,2018-02-28,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000210\반기보고서_(2017.06)\20180228_correction_20180228002234_xbrl.zip,ok,78
000240,반기보고서_(2021.06),20210817002055,2021-08-17,False,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000240\반기보고서_(2021.06)\20210817_original_20210817002055_xbrl.zip,ok,89
000240,반기보고서_(2021.06),20210831001486,2021-08-31,True,xbrl,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000240\반기보고서_(2021.06)\20210831_correction_20210831001486_xbrl.zip,ok,89
