source_type,stock_code,period_key,rcept_no,roles,selected_roles,ambiguous_roles
xbrl,000070,반기보고서_(2022.06),20220816002215,8,8,0
xbrl,000070,반기보고서_(2022.06),20220816002633,8,8,0
xbrl,000080,반기보고서_(2016.06),20210210001188,8,8,0
xbrl,000080,반기보고서_(2016.06),20210210001252,8,8,0
xbrl,000120,반기보고서_(2019.06),20190814002624,8,8,0
xbrl,000120,반기보고서_(2019.06),20191002000607,8,8,0
xbrl,000150,반기보고서_(2023.06),20230814002153,8,8,0
xbrl,000150,반기보고서_(2023.06),20230922000499,8,8,0
xbrl,000210,반기보고서_(2017.06),20180228002234,8,8,0
xbrl,000240,반기보고서_(2021.06),20210817002055,8,8,0
xbrl,000240,반기보고서_(2021.06),20210831001486,8,8,0
document_fallback,000030,반기보고서_(2018.06),20180814002502,6,5,1
document_fallback,000060,반기보고서_(2020.06),20200814001271,6,1,2
document_fallback,000060,반기보고서_(2020.06),20210115000067,6,1,2
