stock_code,corp_name,period_key,report_nm,rcept_no,rcept_dt,is_correction,source_type,xbrl_status,xbrl_message,document_status,document_message,status,file_bytes,sha256,zip_path,zip_member_count,zip_extensions,xml_like_members,largest_members
000030,우리은행,반기보고서 (2018.06),반기보고서 (2018.06),20180814002502,2018-08-14,False,document_fallback,014,파일이 존재하지 않습니다.,000,정상,available,482355.0,1aebe49261a1fd2d60d0e16831452ff304d882fef224fad6ec9391623b8f83e6,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,1.0,.xml:1,20180814002502.xml,20180814002502.xml:4915181
000030,우리은행,반기보고서 (2018.06),[기재정정]반기보고서 (2018.06),20181114001077,2018-11-14,True,,014,파일이 존재하지 않습니다.,014,파일이 존재하지 않습니다.,unavailable,,,,,,,
000060,메리츠화재해상보험,반기보고서 (2020.06),반기보고서 (2020.06),20200814001271,2020-08-14,False,document_fallback,014,파일이 존재하지 않습니다.,000,정상,available,188483.0,46412e4fb7a2b8fc9faac4bf3a1880b9869dcaaf90725c1be17df28476c49cb7,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000060\반기보고서_(2020.06)\20200814_original_20200814001271_document.zip,1.0,.xml:1,20200814001271.xml,20200814001271.xml:2047733
000060,메리츠화재해상보험,반기보고서 (2020.06),[기재정정]반기보고서 (2020.06),20210115000067,2021-01-15,True,document_fallback,014,파일이 존재하지 않습니다.,000,정상,available,189488.0,b9ca3d1169df84cfd12fd1553d58a4fde12ab21579129cae7815f5b712a3ade7,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000060\반기보고서_(2020.06)\20210115_correction_20210115000067_document.zip,1.0,.xml:1,20210115000067.xml,20210115000067.xml:2056210
000070,삼양홀딩스,반기보고서 (2022.06),반기보고서 (2022.06),20220816002215,2022-08-16,False,xbrl,000,정상,,,available,207906.0,84c89547d0fe6ff11ec2c5970b35056d1a5d0684a83783a0cce1e28459abe097,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000070\반기보고서_(2022.06)\20220816_original_20220816002215_xbrl.zip,8.0,.xbrl:1 | .xml:5 | .xsd:2,00126937_2019-03-14.xbrl | ifrs_for_00126937/dimensions_ifrs_for_00126937/dim_ifrs_for_00126937_2019-03-14.xml | ifrs_for_00126937/dimensions_ifrs_for_00126937/cal_ifrs_for_00126937_2019-03-14.xml | ifrs_for_00126937/dimensions_ifrs_for_00126937/pre_ifrs_for_00126937_2019-03-14.xml | labels/lab_00126937-ko_2019-03-14.xml | labels/lab_00126937-en_2019-03-14.xml,ifrs_for_00126937/dimensions_ifrs_for_00126937/pre_ifrs_for_00126937_2019-03-14.xml:1484085 | ifrs_for_00126937/dimensions_ifrs_for_00126937/dim_ifrs_for_00126937_2019-03-14.xml:1453993 | ifrs_for_00126937/dimensions_ifrs_for_00126937/cal_ifrs_for_00126937_2019-03-14.xml:1395933 | 00126937_2019-03-14.xbrl:313076 | labels/lab_00126937-ko_2019-03-14.xml:95104 | labels/lab_00126937-en_2019-03-14.xml:24142 | 00126937_entry_point_2019-03-14.xsd:8559 | ifrs_for_00126937/dimensions_ifrs_for_00126937/role_ifrs_for_00126937-dim_2019-03-14.xsd:649
000070,삼양홀딩스,반기보고서 (2022.06),[기재정정]반기보고서 (2022.06),20220816002633,2022-08-16,True,xbrl,000,정상,,,available,207906.0,2a278ed42d5298ffb035ed125d6ba2aef9e4173db90b9de835d157d3c6a1ed15,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000070\반기보고서_(2022.06)\20220816_correction_20220816002633_xbrl.zip,8.0,.xbrl:1 | .xml:5 | .xsd:2,00126937_2019-03-14.xbrl | ifrs_for_00126937/dimensions_ifrs_for_00126937/dim_ifrs_for_00126937_2019-03-14.xml | ifrs_for_00126937/dimensions_ifrs_for_00126937/cal_ifrs_for_00126937_2019-03-14.xml | ifrs_for_00126937/dimensions_ifrs_for_00126937/pre_ifrs_for_00126937_2019-03-14.xml | labels/lab_00126937-ko_2019-03-14.xml | labels/lab_00126937-en_2019-03-14.xml,ifrs_for_00126937/dimensions_ifrs_for_00126937/pre_ifrs_for_00126937_2019-03-14.xml:1484085 | ifrs_for_00126937/dimensions_ifrs_for_00126937/dim_ifrs_for_00126937_2019-03-14.xml:1453993 | ifrs_for_00126937/dimensions_ifrs_for_00126937/cal_ifrs_for_00126937_2019-03-14.xml:1395933 | 00126937_2019-03-14.xbrl:313076 | labels/lab_00126937-ko_2019-03-14.xml:95104 | labels/lab_00126937-en_2019-03-14.xml:24142 | 00126937_entry_point_2019-03-14.xsd:8559 | ifrs_for_00126937/dimensions_ifrs_for_00126937/role_ifrs_for_00126937-dim_2019-03-14.xsd:649
000080,하이트진로,반기보고서 (2016.06),[기재정정]반기보고서 (2016.06),20210210001188,2021-02-10,True,xbrl,000,정상,,,available,133047.0,fe6cbaa4143c65189db4b4d046f44414d6a40b076a0cf923c5b0036433abb54f,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000080\반기보고서_(2016.06)\20210210_correction_20210210001188_xbrl.zip,8.0,.xbrl:1 | .xml:5 | .xsd:2,00150244_2011-05-03.xbrl | ifrs_for_00150244/dimensions_ifrs_for_00150244/dim_ifrs_for_00150244_2011-05-03.xml | ifrs_for_00150244/dimensions_ifrs_for_00150244/cal_ifrs_for_00150244_2011-05-03.xml | ifrs_for_00150244/dimensions_ifrs_for_00150244/pre_ifrs_for_00150244_2011-05-03.xml | labels/lab_00150244-ko_2011-05-03.xml | labels/lab_00150244-en_2011-05-03.xml,ifrs_for_00150244/dimensions_ifrs_for_00150244/pre_ifrs_for_00150244_2011-05-03.xml:810315 | ifrs_for_00150244/dimensions_ifrs_for_00150244/dim_ifrs_for_00150244_2011-05-03.xml:793486 | ifrs_for_00150244/dimensions_ifrs_for_00150244/cal_ifrs_for_00150244_2011-05-03.xml:583747 | 00150244_2011-05-03.xbrl:369789 | labels/lab_00150244-ko_2011-05-03.xml:159903 | labels/lab_00150244-en_2011-05-03.xml:99434 | 00150244_entry_point_2011-05-03.xsd:26138 | ifrs_for_00150244/dimensions_ifrs_for_00150244/role_ifrs_for_00150244-dim_2011-05-03.xsd:649
000080,하이트진로,반기보고서 (2016.06),[기재정정]반기보고서 (2016.06),20210210001252,2021-02-10,True,xbrl,000,정상,,,available,133047.0,bbbd8b4b550677cddcf215b4588f69e924cb9cc848ed2587a3f5502de7fd3585,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000080\반기보고서_(2016.06)\20210210_correction_20210210001252_xbrl.zip,8.0,.xbrl:1 | .xml:5 | .xsd:2,00150244_2011-05-03.xbrl | ifrs_for_00150244/dimensions_ifrs_for_00150244/dim_ifrs_for_00150244_2011-05-03.xml | ifrs_for_00150244/dimensions_ifrs_for_00150244/cal_ifrs_for_00150244_2011-05-03.xml | ifrs_for_00150244/dimensions_ifrs_for_00150244/pre_ifrs_for_00150244_2011-05-03.xml | labels/lab_00150244-ko_2011-05-03.xml | labels/lab_00150244-en_2011-05-03.xml,ifrs_for_00150244/dimensions_ifrs_for_00150244/pre_ifrs_for_00150244_2011-05-03.xml:810315 | ifrs_for_00150244/dimensions_ifrs_for_00150244/dim_ifrs_for_00150244_2011-05-03.xml:793486 | ifrs_for_00150244/dimensions_ifrs_for_00150244/cal_ifrs_for_00150244_2011-05-03.xml:583747 | 00150244_2011-05-03.xbrl:369789 | labels/lab_00150244-ko_2011-05-03.xml:159903 | labels/lab_00150244-en_2011-05-03.xml:99434 | 00150244_entry_point_2011-05-03.xsd:26138 | ifrs_for_00150244/dimensions_ifrs_for_00150244/role_ifrs_for_00150244-dim_2011-05-03.xsd:649
000120,CJ대한통운,반기보고서 (2019.06),반기보고서 (2019.06),20190814002624,2019-08-14,False,xbrl,000,정상,,,available,218677.0,366df362945092a26fcfdb6af17beac4a0b83aab75f7e6098f6259f9b92fbf29,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000120\반기보고서_(2019.06)\20190814_original_20190814002624_xbrl.zip,8.0,.xbrl:1 | .xml:5 | .xsd:2,00113410_2017-11-02.xbrl | ifrs_for_00113410/dimensions_ifrs_for_00113410/dim_ifrs_for_00113410_2017-11-02.xml | ifrs_for_00113410/dimensions_ifrs_for_00113410/cal_ifrs_for_00113410_2017-11-02.xml | ifrs_for_00113410/dimensions_ifrs_for_00113410/pre_ifrs_for_00113410_2017-11-02.xml | labels/lab_00113410-ko_2017-11-02.xml | labels/lab_00113410-en_2017-11-02.xml,ifrs_for_00113410/dimensions_ifrs_for_00113410/pre_ifrs_for_00113410_2017-11-02.xml:1475535 | ifrs_for_00113410/dimensions_ifrs_for_00113410/dim_ifrs_for_00113410_2017-11-02.xml:1446656 | ifrs_for_00113410/dimensions_ifrs_for_00113410/cal_ifrs_for_00113410_2017-11-02.xml:1395109 | 00113410_2017-11-02.xbrl:322932 | labels/lab_00113410-ko_2017-11-02.xml:142285 | labels/lab_00113410-en_2017-11-02.xml:105682 | 00113410_entry_point_2017-11-02.xsd:26783 | ifrs_for_00113410/dimensions_ifrs_for_00113410/role_ifrs_for_00113410-dim_2017-11-02.xsd:649
000120,CJ대한통운,반기보고서 (2019.06),[기재정정]반기보고서 (2019.06),20191002000607,2019-10-02,True,xbrl,000,정상,,,available,218837.0,d595f3c5fb1d5d5f2a19700b28db78fc3340189c1d46a7a22cc73a9e4b64bf4d,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000120\반기보고서_(2019.06)\20191002_correction_20191002000607_xbrl.zip,8.0,.xbrl:1 | .xml:5 | .xsd:2,00113410_2017-11-02.xbrl | ifrs_for_00113410/dimensions_ifrs_for_00113410/dim_ifrs_for_00113410_2017-11-02.xml | ifrs_for_00113410/dimensions_ifrs_for_00113410/cal_ifrs_for_00113410_2017-11-02.xml | ifrs_for_00113410/dimensions_ifrs_for_00113410/pre_ifrs_for_00113410_2017-11-02.xml | labels/lab_00113410-ko_2017-11-02.xml | labels/lab_00113410-en_2017-11-02.xml,ifrs_for_00113410/dimensions_ifrs_for_00113410/pre_ifrs_for_00113410_2017-11-02.xml:1475289 | ifrs_for_00113410/dimensions_ifrs_for_00113410/dim_ifrs_for_00113410_2017-11-02.xml:1446396 | ifrs_for_00113410/dimensions_ifrs_for_00113410/cal_ifrs_for_00113410_2017-11-02.xml:1395045 | 00113410_2017-11-02.xbrl:331824 | labels/lab_00113410-ko_2017-11-02.xml:143034 | labels/lab_00113410-en_2017-11-02.xml:105682 | 00113410_entry_point_2017-11-02.xsd:26783 | ifrs_for_00113410/dimensions_ifrs_for_00113410/role_ifrs_for_00113410-dim_2017-11-02.xsd:649
