날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-02-05,1487.99,1498.1,1480.99,1489.41,143693847,8263559557872,1578528023269790
2018-02-06,1455.2,1473.56,1439.81,1468.49,199372022,10371473651627,1556773587022210
2018-02-07,1488.41,1488.61,1429.82,1429.82,154698671,9298597786804,1516597823270820
2018-02-08,1432.08,1451.05,1429.19,1441.13,158769041,10430958812463,1526579124029925
2018-02-09,1402.01,1419.65,1401.73,1411.9,138449265,8212915363740,1496439968175220
2018-02-12,1423.66,1436.3,1416.36,1427.55,114108175,6398759342890,1510351800304895
2018-02-13,1439.39,1452.19,1430.3,1434.38,114259384,6769068044401,1515320153497045
2018-02-14,1446.41,1456.33,1444.98,1454.65,96314751,5830722402248,1535231010415090
2018-02-19,1474.29,1475.82,1457.56,1469.18,101195604,6191335945531,1551056857410610
2018-02-20,1461.87,1465.72,1446.54,1449.26,85297793,4854689713649,1531068494855360
2018-02-21,1451.22,1460.38,1441.72,1458.37,90114430,5455577951884,1541151635002385
2018-02-22,1450.03,1453.18,1442.13,1447.7,88357039,4600298529931,1530782522943325
2018-02-23,1455.37,1469.73,1455.37,1469.73,102436893,5558073827705,1554660381206070
2018-02-26,1478.17,1478.68,1467.37,1473.57,119778003,5575665036361,1559127559514130
2018-02-27,1484.99,1489.77,1474.77,1474.77,101335927,5842864492049,1558541326119565
2018-02-28,1468.37,1477.2,1455.14,1456.18,128868284,7488615895023,1538924103849825
2018-03-02,1443.65,1446.28,1431.67,1441.22,115655213,6222204435564,1524046834469985
2018-03-05,1444.05,1445.81,1423.89,1424.35,98358272,5936562463429,1506649309314910
2018-03-06,1441.03,1451.07,1436.17,1449.97,113425927,6552305819558,1530770447737685
2018-03-07,1450.79,1461.83,1439.47,1443.03,141379683,9444647767927,1521986636790740
2018-03-08,1456.02,1463.85,1447.22,1463.82,130866903,9146071011060,1542481631945685
2018-03-09,1469.9,1490.21,1464.94,1477.92,146488802,8458093581462,1559375705111545
2018-03-12,1494.55,1497.24,1487.61,1493.11,123126969,6556404556895,1575409194399020
2018-03-13,1494.08,1502.83,1490.88,1502.83,122980642,8065153850059,1582666340599355
2018-03-14,1492.2,1499.02,1490.85,1498.2,101171217,6136403363643,1577655560072790
2018-03-15,1498.61,1505.73,1488.69,1501.76,105314747,6330462351348,1581638566290755
2018-03-16,1503.0,1505.11,1491.22,1502.9,114553221,6662639260500,1582724570361725
2018-03-19,1501.34,1503.0,1488.54,1490.43,101452879,5300866112054,1569537714385515
2018-03-20,1479.01,1498.76,1478.52,1498.76,92691599,5222987114410,1577850327151420
2018-03-21,1500.59,1503.87,1497.51,1497.6,106779713,6040504409806,1577097464114120
2018-03-22,1504.27,1512.33,1496.32,1503.12,129776932,6612540029170,1582736790240220
2018-03-23,1471.49,1473.96,1447.82,1450.26,146239630,8013774691064,1529689148882130
2018-03-26,1448.89,1464.36,1439.77,1464.36,134713237,6571260426952,1545903322858800
2018-03-27,1475.4,1476.12,1465.79,1470.46,126447895,6414934040022,1555761024627090
2018-03-28,1452.93,1455.7,1442.75,1449.75,122812518,7137091557790,1533643182221850
2018-03-29,1451.29,1463.67,1446.09,1461.19,106704040,6763934681654,1546515867761875
2018-03-30,1471.85,1475.02,1464.81,1464.88,130642085,5515014940080,1551133286280605
