BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20210517,095570,AJ네트웍스,KOSPI,,6180,-80,-1.28,6320,6340,5920,295284,1807388330,289361783100,46822295
20210517,006840,AK홀딩스,KOSPI,,34900,1400,4.18,33750,35150,33200,124814,4306753650,462339878900,13247561
20210517,027410,BGF,KOSPI,,6910,-20,-0.29,6990,7010,6880,223309,1549730600,661403025810,95716791
20210517,282330,BGF리테일,KOSPI,,180500,3000,1.69,177500,181500,176000,30384,5442678500,3119745033000,17283906
20210517,138930,BNK금융지주,KOSPI,,8050,-50,-0.62,8050,8130,7940,1437841,11534725270,2623778730300,325935246
20210517,001460,BYC,KOSPI,,383500,-6500,-1.67,390000,390000,383000,309,118821000,239539852500,624615
20210517,001465,BYC우,KOSPI,,171000,0,0.00,169000,173000,168500,140,23734500,36830835000,215385
20210517,001040,CJ,KOSPI,,108000,500,0.47,108500,110500,105500,181940,19676897500,3151115784000,29176998
20210517,079160,CJ CGV,KOSPI,,28950,1250,4.51,27500,28950,27450,818743,23281801600,1016145000000,35100000
20210517,00104K,CJ4우(전환),KOSPI,,85700,1000,1.18,85500,85900,83000,10682,906204200,362212078400,4226512
20210517,000120,CJ대한통운,KOSPI,,169500,-500,-0.29,170000,170000,168500,26626,4500399500,3866692308000,22812344
20210517,011150,CJ씨푸드,KOSPI,,4560,-100,-2.15,4700,4710,4545,572177,2635948020,163844324880,35930773
20210517,011155,CJ씨푸드1우,KOSPI,,44050,-3150,-6.67,46000,46000,44050,4984,223207550,8810000000,200000
20210517,001045,CJ우,KOSPI,,64500,-300,-0.46,65000,65600,63200,10738,691037800,145784383500,2260223
20210517,097950,CJ제일제당,KOSPI,,457500,3500,0.77,452500,466500,448500,64338,29395626500,6887290095000,15054186
20210517,097955,CJ제일제당 우,KOSPI,,218000,2000,0.93,218500,220000,213000,14024,3049687000,289380394000,1327433
20210517,000590,CS홀딩스,KOSPI,,73200,-5000,-6.39,78200,78500,72600,17310,1299703800,84508082400,1154482
20210517,012030,DB,KOSPI,,912,-15,-1.62,928,933,900,954293,870943146,183470626896,201173933
20210517,016610,DB금융투자,KOSPI,,7270,-30,-0.41,7350,7400,7140,248042,1808529690,308585248030,42446389
20210517,005830,DB손해보험,KOSPI,,50700,-1000,-1.93,50400,51500,50000,199995,10124916100,3589560000000,70800000
20210517,000990,DB하이텍,KOSPI,,52100,-3300,-5.96,56100,56200,52000,2242140,118872466600,2313166434800,44398588
20210517,000995,DB하이텍1우,KOSPI,,128000,-5500,-4.12,133500,133500,120000,2584,322210500,14376448000,112316
20210517,139130,DGB금융지주,KOSPI,,9280,-60,-0.64,9300,9380,9150,544722,5050087610,1569673330240,169145833
20210517,001530,DI동일,KOSPI,,186000,-500,-0.27,190000,191000,182000,9247,1721748500,466981830000,2510655
20210517,000210,DL,KOSPI,,83000,-2100,-2.47,85000,85500,81600,376466,31234947400,1281624746000,15441262
20210517,001880,DL건설,KOSPI,,35650,-250,-0.70,36150,36450,35650,72676,2613594300,786199574600,22053284
20210517,000215,DL우,KOSPI,,48700,-2100,-4.13,50800,51400,48150,28617,1409659150,82113800500,1686115
20210517,375500,DL이앤씨,KOSPI,,133000,-6500,-4.66,138000,139000,131500,431460,57907767000,2574712154000,19358738
20210517,37550K,DL이앤씨우,KOSPI,,77400,-1100,-1.40,78800,79000,76400,17080,1316088200,163614699000,2113885
20210517,004840,DRB동일,KOSPI,,7200,40,0.56,7180,7200,7070,29072,207355800,143496000000,19930000
20210517,155660,DSR,KOSPI,,6800,-180,-2.58,7000,7080,6700,153439,1054183190,108800000000,16000000
20210517,069730,DSR제강,KOSPI,,6090,-230,-3.64,6340,6420,6020,258382,1602399830,87696000000,14400000
20210517,017940,E1,KOSPI,,49200,600,1.23,48600,49200,48300,14564,710549200,337512000000,6860000
20210517,365550,ESR켄달스퀘어리츠,KOSPI,,6370,-140,-2.15,6520,6590,6310,474704,3058099280,912559830000,143259000
20210517,007700,F&F,KOSPI,,180000,0,0.00,0,0,0,0,0,2772000000000,15400000
20210517,114090,GKL,KOSPI,,17400,450,2.65,17150,17500,16850,872187,15099291000,1076288658000,61855670
20210517,078930,GS,KOSPI,,47650,-600,-1.24,48600,48650,47050,422489,20059298800,4427417761700,92915378
20210517,006360,GS건설,KOSPI,,42800,-650,-1.50,43450,43750,42400,703595,30162229450,3659009150400,85490868
20210517,001250,GS글로벌,KOSPI,,2755,-90,-3.16,2865,2870,2755,468490,1313842565,227380519820,82533764
20210517,007070,GS리테일,KOSPI,,36950,250,0.68,36650,37200,36300,410323,15087285000,2845150000000,77000000
20210517,078935,GS우,KOSPI,,38550,-450,-1.15,39050,39300,38350,10494,406064000,68805042300,1784826
20210517,012630,HDC,KOSPI,,13900,-150,-1.07,14200,14200,13750,587148,8201233200,830409921900,59741721
20210517,039570,HDC아이콘트롤스,KOSPI,,12400,0,0.00,12400,12650,12300,100113,1249613300,204104000000,16460000
20210517,089470,HDC현대EP,KOSPI,,5970,-140,-2.29,6130,6150,5970,112194,679379060,190443000000,31900000
20210517,294870,HDC현대산업개발,KOSPI,,28300,-450,-1.57,29100,29150,28150,456124,12994154850,1865177439000,65907330
20210517,011200,HMM,KOSPI,,42850,-850,-1.95,45300,46500,41500,19700199,858285109000,14800068067950,345392487
20210517,082740,HSD엔진,KOSPI,,10000,-100,-0.99,9690,10350,9640,1238820,12353070290,405994220000,40599422
20210517,003560,IHQ,KOSPI,,2640,60,2.33,2610,2660,2460,3448911,8992476775,386062374720,146235748
20210517,175330,JB금융지주,KOSPI,,7890,-10,-0.13,7900,7940,7800,478733,3768602710,1554195033660,196982894
20210517,234080,JW생명과학,KOSPI,,18550,-200,-1.07,18800,18900,18250,85318,1581028300,293730976700,15834554
20210517,001060,JW중외제약,KOSPI,,28750,150,0.52,28700,29100,28500,46330,1330959700,619272872500,21539926
20210517,001067,JW중외제약2우B,KOSPI,,77700,-7600,-8.91,84400,84400,76300,8280,659002200,7228275600,93028
20210517,001065,JW중외제약우,KOSPI,,57500,-5700,-9.02,60000,61500,54500,10482,610660200,10205445000,177486
20210517,096760,JW홀딩스,KOSPI,,4720,-65,-1.36,4785,4815,4695,136299,646547770,323042379040,68441182
20210517,105560,KB금융,KOSPI,,57900,300,0.52,57200,58000,56700,1079044,61972656900,24075278568000,415807920
20210517,002380,KCC,KOSPI,,331000,-9500,-2.79,343500,343500,327000,55362,18336540500,2941421901000,8886471
20210517,009070,KCTC,KOSPI,,8080,110,1.38,8110,8400,7980,1706362,13970548510,242400000000,30000000
20210517,009440,KC그린홀딩스,KOSPI,,4595,55,1.21,4810,4810,4540,43713,202037750,103088733100,22434980
20210517,119650,KC코트렐,KOSPI,,7640,-40,-0.52,7820,7820,7600,85362,657034150,99320000000,13000000
20210517,092220,KEC,KOSPI,,2085,35,1.71,2040,2085,2025,1256928,2611215755,243333969900,116706940
20210517,016380,KG동부제철,KOSPI,,20550,-200,-0.96,20850,21600,20200,668681,13922937100,2055182833350,100008897
20210517,016385,KG동부제철우,KOSPI,,167000,-2000,-1.18,164500,170000,164500,791,131913000,8915295000,53385
20210517,001390,KG케미칼,KOSPI,,28800,-500,-1.71,29450,29550,28650,126941,3734804800,399343564800,13866096
20210517,033180,KH 필룩스,KOSPI,,3310,-120,-3.50,3410,3425,3310,2682411,9002723740,439336061680,132729928
20210517,001940,KISCO홀딩스,KOSPI,,18700,-650,-3.36,19500,20050,18150,216285,4065644600,345508306000,18476380
20210517,025000,KPX케미칼,KOSPI,,72000,-1400,-1.91,73400,73600,70400,14499,1033304300,348480000000,4840000
20210517,092230,KPX홀딩스,KOSPI,,74100,-2500,-3.26,76600,76900,73200,35895,2676942800,313046268600,4224646
20210517,000040,KR모터스,KOSPI,,1150,-40,-3.36,1195,1200,1145,649141,755178485,110557973200,96137368
20210517,044450,KSS해운,KOSPI,,12800,-550,-4.12,13600,13600,12600,1301705,16969026700,296779264000,23185880
20210517,030200,KT,KOSPI,,31250,250,0.81,31200,31400,30750,1254323,39037873350,8159744000000,261111808
20210517,033780,KT&G,KOSPI,,82700,400,0.49,82700,82900,82200,363265,29991371200,11354089501900,137292497
20210517,030210,KTB투자증권,KOSPI,,5590,-40,-0.71,5670,5840,5520,624273,3547026260,337155774280,60314092
20210517,058850,KTcs,KOSPI,,3030,-110,-3.50,3140,3230,3010,1246740,3902782705,129335550000,42685000
20210517,058860,KTis,KOSPI,,3050,-75,-2.40,3170,3170,3040,455365,1412111385,106146100000,34802000
20210517,093050,LF,KOSPI,,18850,-450,-2.33,19450,19500,18750,140965,2674704600,551174000000,29240000
20210517,003550,LG,KOSPI,,126500,0,0.00,0,0,0,0,0,21828477071500,172557131
20210517,034220,LG디스플레이,KOSPI,,22200,200,0.91,22350,22650,22000,2697612,60036457200,7943508540000,357815700
20210517,001120,LG상사,KOSPI,,34350,-400,-1.15,34850,35050,34000,269373,9287463900,1331406000000,38760000
20210517,051900,LG생활건강,KOSPI,,1518000,-3000,-0.20,1521000,1529000,1511000,23640,35942594000,23708423046000,15618197
20210517,051905,LG생활건강우,KOSPI,,728000,16000,2.25,716000,732000,713000,7796,5630185000,1528579416000,2099697
20210517,003555,LG우,KOSPI,,99500,0,0.00,0,0,0,0,0,329810361500,3314677
20210517,032640,LG유플러스,KOSPI,,14800,0,0.00,14750,14950,14650,2730140,40447218300,6461848142800,436611361
20210517,011070,LG이노텍,KOSPI,,192500,-3000,-1.53,197500,198000,191000,125233,24214962500,4555918097500,23667107
20210517,066570,LG전자,KOSPI,,147500,-1000,-0.67,151000,151000,146000,553776,81877974000,24138052565000,163647814
20210517,066575,LG전자우,KOSPI,,71400,-100,-0.14,72000,72200,71100,81430,5824987300,1227079828800,17185992
20210517,108670,LG하우시스,KOSPI,,100000,-4000,-3.85,103000,103500,97600,242341,24153255400,896767000000,8967670
20210517,108675,LG하우시스우,KOSPI,,47450,-2300,-4.62,49800,49800,47050,23077,1102912850,48984058500,1032330
20210517,037560,LG헬로비전,KOSPI,,5040,-140,-2.70,5180,5220,5030,780273,3980938130,390332199600,77446865
20210517,051910,LG화학,KOSPI,,860000,6000,0.70,862000,867000,854000,126099,108444478000,60709414980000,70592343
20210517,051915,LG화학우,KOSPI,,401000,-6000,-1.47,409000,409500,401000,10976,4430416000,3083208800000,7688800
20210517,079550,LIG넥스원,KOSPI,,39350,-350,-0.88,40200,40300,38950,90749,3593462600,865700000000,22000000
20210517,006260,LS,KOSPI,,71000,-300,-0.42,71900,72200,70700,119795,8542778600,2286200000000,32200000
20210517,010120,LS ELECTRIC,KOSPI,,54800,-400,-0.72,55300,55700,54700,55838,3067745700,1644000000000,30000000
20210517,000680,LS네트웍스,KOSPI,,2930,-10,-0.34,2990,3030,2915,163348,487117100,230892836880,78803016
20210517,229640,LS전선아시아,KOSPI,,7980,-220,-2.68,8290,8290,7970,312616,2516364660,244386534420,30624879
