Selected_Regime_Strategy,Candidate_Strategy,Days,Return (%)
Cash,Static MVO,52,19.27418945144479
Cash,Equal Weight,52,27.73032389817789
Cash,EIIE 40ep,52,42.233856974742665
Cash,Cash,52,0.0
Equal Weight,Static MVO,79,9.636601590424188
Equal Weight,Equal Weight,79,4.419016193431169
Equal Weight,EIIE 40ep,79,-19.016753007744157
Equal Weight,Cash,79,0.0
Static MVO,Static MVO,38,32.69405813786377
Static MVO,Equal Weight,38,14.500348963425203
Static MVO,EIIE 40ep,38,-13.960107489370744
Static MVO,Cash,38,0.0
EIIE 40ep,Static MVO,3,11.780251562051692
EIIE 40ep,Equal Weight,3,6.473133168598788
EIIE 40ep,EIIE 40ep,3,-11.307532019618716
EIIE 40ep,Cash,3,0.0
