date,000660.KS,005380.KS,005930.KS,035420.KS,105560.KS
2025-03-19,204231.625,194257.859375,57083.609375,205837.796875,77372.546875
2025-03-20,208703.828125,192829.46875,58742.453125,205837.796875,78420.6953125
2025-03-21,214169.875,195210.109375,60206.13671875,207322.203125,77467.8359375
2025-03-24,210194.578125,202828.0625,59035.19140625,204848.1875,77944.265625
2025-03-25,206716.1875,209493.765625,58352.140625,205342.984375,78039.5625
2025-03-26,212679.171875,211398.28125,59913.3984375,201879.375,77944.265625
2025-03-27,205722.375,202351.9375,60303.71484375,195743.828125,76419.6796875
2025-03-28,198069.859375,195210.109375,59091.45703125,192676.046875,74990.3828125
2025-03-31,189522.953125,187782.59375,56735.65234375,189014.515625,75276.2421875
2025-04-01,195784.078125,189115.734375,57717.23828125,194655.265625,75847.9609375
2025-04-02,196678.53125,186925.578125,57717.23828125,193566.6875,76705.546875
2025-04-03,193398.859375,184544.96875,56539.33984375,196535.5,73465.8046875
2025-04-04,181075.421875,182640.484375,55066.95703125,195743.828125,74037.5078125
2025-04-07,163782.8125,170546.984375,52220.35546875,189806.1875,68892.0546875
2025-04-08,168453.8125,170642.203125,52514.83203125,177733.015625,67176.8984375
2025-04-09,163981.609375,169499.5,52024.0390625,175061.078125,67558.046875
2025-04-10,182069.265625,178069.71875,55361.4296875,181988.3125,72322.3671875
2025-04-11,179684.078125,169023.375,54183.53515625,181097.671875,71655.3671875
2025-04-14,179087.75,170737.4375,55165.11328125,180800.796875,72512.9453125
2025-04-15,179485.296875,178069.71875,55557.75,181988.3125,74323.3828125
2025-04-16,172926.03125,173022.8125,53692.734375,182483.125,76229.1171875
2025-04-17,173919.859375,173022.8125,54085.37109375,181691.4375,76514.96875
2025-04-18,173919.859375,178260.15625,54281.6875,185550.890625,78515.9765625
2025-04-21,175509.96875,178355.390625,54379.84375,185550.890625,78897.125
2025-04-22,172727.265625,176736.5625,53987.2109375,191686.4375,79468.8515625
2025-04-23,179882.828125,180926.4375,54674.3203125,190894.765625,80993.4296875
2025-04-24,177199.5,179878.96875,54674.3203125,189509.3125,80612.2890625
2025-04-25,183261.828125,179783.75,54674.3203125,191488.515625,82803.875
2025-04-28,180876.65625,179974.203125,54772.484375,193467.734375,82518.0078125
2025-04-29,179684.078125,183592.71875,54772.484375,194457.34375,83661.453125
2025-04-30,176404.4375,181497.78125,54478.00390625,198415.75,85948.3203125
2025-05-02,184851.96875,180355.09375,53300.10546875,195347.984375,88806.921875
2025-05-07,189622.328125,178641.0625,53594.58203125,197030.3125,89188.0625
2025-05-08,189125.421875,178164.921875,53594.58203125,186738.421875,90045.640625
2025-05-09,188926.671875,180831.234375,53790.8984375,189014.515625,88517.7421875
2025-05-12,193796.40625,186449.453125,56539.33984375,188222.828125,88710.171875
2025-05-13,197274.8125,187306.5,55852.2265625,186243.625,89095.03125
2025-05-14,204728.53125,187687.375,56343.015625,189212.4375,89864.75
2025-05-15,199262.5,183687.953125,56244.86328125,187233.21875,90057.1796875
2025-05-16,203237.765625,184544.96875,55754.06640625,185847.78125,90057.1796875
2025-05-19,198169.265625,181878.6875,54772.484375,183472.71875,91404.1875
2025-05-20,200753.21875,180450.296875,54870.63671875,183076.875,92654.984375
2025-05-21,199262.5,179021.9375,54674.3203125,182878.96875,94290.640625
2025-05-22,195684.703125,173689.375,53692.734375,181295.59375,93039.84375
2025-05-23,198765.5625,171308.78125,53201.9453125,181196.640625,95252.7890625
2025-05-26,201747.046875,173213.25,53692.734375,186045.703125,98139.2421875
2025-05-27,201250.125,173213.25,52907.46875,181889.359375,98043.0234375
2025-05-28,206716.1875,177022.25,54870.63671875,185748.8125,97177.0859375
2025-05-29,211072.015625,184357.953125,55066.95703125,187332.1875,98812.7421875
2025-05-30,203604.859375,178856.171875,55165.11328125,185550.890625,100352.1796875
2025-06-02,206591.734375,177601.375,55754.06640625,184561.296875,96214.9453125
2025-06-04,216547.9375,179531.828125,56735.65234375,183571.6875,103815.921875
2025-06-05,223517.3125,183006.640625,58011.71484375,189212.4375,102276.4765625
2025-06-09,227997.609375,190921.46875,58698.82421875,196436.546875,106509.9375
2025-06-10,229491.046875,190149.296875,58109.8671875,197920.953125,106702.3671875
2025-06-11,238949.484375,194010.203125,58796.984375,198910.5625,103142.4140625
2025-06-12,234469.15625,194492.8125,58404.34375,196832.390625,101891.6171875
2025-06-13,234469.15625,192079.765625,57226.4453125,198415.75,101987.828125
2025-06-16,246914.453125,194492.8125,56146.703125,207322.203125,103719.6875
2025-06-17,247910.0625,197871.109375,57030.12890625,204353.390625,103046.1953125
2025-06-18,245421.015625,198836.328125,58698.82421875,240968.765625,102949.9765625
2025-06-19,244923.203125,199801.5625,58109.8671875,249380.40625,102661.3359375
2025-06-20,255875.0625,202697.234375,58404.34375,266698.5,102468.90625
2025-06-23,258364.109375,194492.8125,56931.96875,286985.375,103527.2734375
2025-06-24,277280.90625,198836.328125,59385.93359375,287480.1875,108049.375
2025-06-25,284748.09375,209453.8125,60171.203125,280552.9375,105355.3515625
2025-06-26,291717.46875,202214.625,59091.45703125,258286.84375,105740.21875
2025-06-27,282756.875,197871.109375,60046.4765625,254823.234375,106413.71875
2025-06-30,290721.84375,196423.28125,59058.8671875,259771.25,106702.3671875
2025-07-01,284250.34375,202697.234375,59453.91015625,259276.453125,106606.1484375
